"player","season","team","s_c","pos","gp","g","a","p","x","pim","p_gp","evg","evp","ppg","ppp","shg","shp","otg","gwg","s","s_percent","toi_gp","fow_percent"
"Jon Lizotte",20212022,"MIN","L","D",1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,"14:43",NA
"Nolan Foote",20212022,"NJD","L","L",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"7:32",NA
"Kaedan Korczak",20212022,"VGK","R","D",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,"16:37",NA
"Brayden Tracey",20212022,"ANA","L","L",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,"9:21",NA
"Alex Turcotte",20212022,"LAK","L","C",8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,13,0,"11:15",41.4
"Artemi Kniazev",20212022,"SJS","L","D",1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,2,0,"11:59",NA
"Ville Heinola",20212022,"WPG","L","D",4,0,0,0,-4,6,0,0,0,0,0,0,0,0,0,7,0,"13:45",NA
"Thomas Harley",20212022,"DAL","L","D",8,0,0,0,0,2,0,0,0,0,0,0,0,0,0,9,0,"13:05",NA
"Victor Soderstrom",20212022,"ARI","R","D",13,0,0,0,-6,4,0,0,0,0,0,0,0,0,0,10,0,"16:18",NA
"Pavel Dorofeyev",20212022,"VGK","L","L",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"4:07",NA
"Vladislav Kolyachonok",20212022,"ARI","L","D",4,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,3,0,"14:29",NA
"Cole Schwindt",20212022,"FLA","R","C",1,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,NA,"9:27",40
"Tyce Thompson",20212022,"NJD","R","R",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"14:25",100
"Bryce Kindopp",20212022,"ANA","R","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"6:06",0
"Ben McCartney",20212022,"ARI","L","L",2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,"14:03",0
"Cole Smith",20212022,"NSH","L","L",6,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,3,0,"8:57",0
"Jack Ahcan",20212022,"BOS","L","D",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"14:19",NA
"Marco Rossi",20212022,"MIN","L","C",2,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,5,0,"15:35",31.8
"Justin Barron",20212022,"COL","R","D",2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"12:35",NA
"Lukas Reichel",20212022,"CHI","L","L",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,"15:23",35.7
"Jacob Perreault",20212022,"ANA","R","R",1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,NA,"11:05",NA
"JJ Peterka",20212022,"BUF","L","R",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,"16:08",NA
"Isaak Phillips",20212022,"CHI","L","D",3,0,0,0,-1,4,0,0,0,0,0,0,0,0,0,2,0,"10:51",NA
"Adam Raska",20212022,"SJS","R","R",5,0,0,0,1,7,0,0,0,0,0,0,0,0,0,2,0,"8:03",NA
"Linus Sandin",20212022,"PHI","R","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"6:59",NA
"Walker Duehr",20212022,"CGY","R","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"8:47",NA
"Kirill Semyonov",20212022,"TOR","L","C",3,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,1,0,"10:02",50
"Jesper Froden",20212022,"BOS","R","R",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,"12:59",NA
"Viktor Arvidsson",20212022,"LAK","R","L",40,13,16,29,5,20,0.73,9,22,4,7,0,0,0,1,149,8.7,"17:24",50
"Michael Bunting",20212022,"TOR","L","L",43,13,16,29,11,28,0.67,11,26,2,3,0,0,0,1,92,14.1,"15:16",42.9
"Ryan O'Reilly",20212022,"STL","L","C",40,10,19,29,-2,2,0.73,5,21,5,8,0,0,0,0,95,10.5,"19:35",56.4
"Taylor Hall",20212022,"BOS","L","L",43,10,19,29,-3,20,0.67,6,21,4,8,0,0,1,1,104,9.6,"16:03",53.9
"Mark Scheifele",20212022,"WPG","R","C",36,10,19,29,-12,4,0.81,7,19,3,10,0,0,1,1,89,11.2,"21:20",49.9
"Phil Kessel",20212022,"ARI","R","R",45,5,24,29,-13,16,0.64,3,20,2,9,0,0,0,0,94,5.3,"17:23",40
"Moritz Seider",20212022,"DET","R","D",47,4,25,29,-5,26,0.62,3,15,1,12,0,2,2,2,94,4.3,"22:39",NA
"Seth Jones",20212022,"CHI","R","D",42,3,26,29,-18,22,0.69,3,17,0,11,0,1,0,0,113,2.7,"26:12",NA
"Adrian Kempe",20212022,"LAK","L","C",44,19,9,28,-1,28,0.64,15,20,2,6,2,2,1,5,127,15,"18:13",53.1
"Jeff Skinner",20212022,"BUF","L","L",43,16,12,28,-9,14,0.65,13,22,3,6,0,0,0,2,133,12,"17:04",43.3
"Alex Iafallo",20212022,"LAK","L","L",45,14,14,28,6,4,0.62,11,21,2,5,1,2,1,2,129,10.9,"18:44",50
"Anthony Cirelli",20212022,"TBL","L","C",41,13,15,28,13,35,0.68,10,23,3,5,0,0,0,3,83,15.7,"19:44",46.8
"Oliver Bjorkstrand",20212022,"CBJ","R","R",41,12,16,28,-25,6,0.68,8,18,4,10,0,0,0,1,103,11.7,"18:26",41.2
"Andrew Copp",20212022,"WPG","L","C",42,12,16,28,2,8,0.67,9,21,2,5,1,2,0,2,116,10.3,"20:46",53.6
"Mathew Barzal",20212022,"NYI","R","C",36,10,18,28,-7,12,0.78,9,20,1,8,0,0,0,1,90,11.1,"18:37",47.5
"Mark Stone",20212022,"VGK","R","R",27,8,20,28,7,8,1.04,6,23,2,4,0,1,0,2,51,15.7,"18:14",48.2
"Shayne Gostisbehere",20212022,"ARI","L","D",45,8,20,28,-9,16,0.62,7,20,1,8,0,0,0,0,88,9.1,"22:09",NA
"Charlie McAvoy",20212022,"BOS","R","D",40,7,21,28,4,33,0.7,3,13,4,15,0,0,0,3,84,8.3,"24:24",NA
"Rasmus Dahlin",20212022,"BUF","L","D",44,7,21,28,-14,38,0.64,5,17,2,11,0,0,0,1,100,7,"23:46",NA
"Jakub Voracek",20212022,"CBJ","L","R",41,1,27,28,-5,14,0.68,0,17,1,11,0,0,0,0,80,1.3,"16:49",14.3
"Andrew Mangiapane",20212022,"CGY","L","L",42,20,7,27,7,20,0.64,13,19,6,7,1,1,0,4,102,19.6,"15:52",45.7
"Marcus Foligno",20212022,"MIN","L","L",39,17,10,27,21,75,0.69,13,22,4,5,0,0,1,3,58,29.3,"16:46",54.6
"Tanner Jeannot",20212022,"NSH","L","L",46,14,13,27,8,80,0.59,13,25,1,2,0,0,1,3,71,19.7,"15:36",40
"Jack Hughes",20212022,"NJD","L","C",28,12,15,27,-12,0,0.96,10,20,2,7,0,0,2,2,89,13.5,"18:58",30
"Nick Suzuki",20212022,"MTL","R","C",44,9,18,27,-19,18,0.61,4,15,4,10,1,2,0,2,97,9.3,"19:57",47
"MacKenzie Weegar",20212022,"FLA","R","D",47,4,23,27,23,49,0.57,3,24,0,1,1,2,0,1,114,3.5,"23:35",NA
"Miro Heiskanen",20212022,"DAL","L","D",42,4,23,27,0,18,0.64,2,19,2,8,0,0,1,1,92,4.4,"24:40",NA
"Ryan Getzlaf",20212022,"ANA","R","C",40,3,24,27,-7,21,0.68,1,19,2,8,0,0,0,1,80,3.8,"18:53",54
"Josh Norris",20212022,"OTT","L","C",36,18,8,26,-2,10,0.72,11,18,7,8,0,0,0,4,92,19.6,"18:34",50.5
"Zach Hyman",20212022,"EDM","R","L",36,13,13,26,-5,16,0.72,9,18,3,5,1,3,0,1,93,14,"18:48",57.5
"Jeff Carter",20212022,"PIT","R","C",40,12,14,26,-3,24,0.65,11,22,1,4,0,0,1,1,120,10,"18:26",57.4
"Jordan Eberle",20212022,"SEA","R","R",44,12,14,26,-16,6,0.59,9,19,3,7,0,0,0,1,96,12.5,"18:17",33.3
"Erik Karlsson",20212022,"SJS","R","D",33,8,18,26,-4,14,0.79,8,18,0,8,0,0,1,2,83,9.6,"23:06",NA
"Kevin Shattenkirk",20212022,"ANA","R","D",48,7,19,26,1,18,0.54,6,14,1,12,0,0,0,1,90,7.8,"20:23",NA
"Alex Pietrangelo",20212022,"VGK","R","D",44,6,20,26,1,32,0.59,3,15,2,9,1,2,0,0,120,5,"25:35",NA
"Samuel Girard",20212022,"COL","L","D",42,5,21,26,2,18,0.62,5,19,0,7,0,0,0,1,58,8.6,"21:51",NA
"Brandon Saad",20212022,"STL","L","L",40,15,10,25,2,6,0.63,9,16,5,7,1,2,0,0,89,16.9,"16:29",40
"Nikolaj Ehlers",20212022,"WPG","L","L",34,13,12,25,8,14,0.74,13,22,0,3,0,0,0,1,134,9.7,"18:35",50
"Gustav Nyquist",20212022,"CBJ","L","C",43,12,13,25,-7,14,0.58,7,20,1,1,4,4,0,0,47,25.5,"16:38",35.7
"Phillip Danault",20212022,"LAK","L","C",45,12,13,25,15,30,0.56,12,24,0,1,0,0,0,3,105,11.4,"17:55",54.7
"Andreas Johnsson",20212022,"NJD","L","L",44,11,14,25,-2,22,0.57,10,24,1,1,0,0,0,0,80,13.8,"14:42",25
"Jesse Puljujarvi",20212022,"EDM","R","R",40,10,15,25,7,16,0.63,7,19,3,6,0,0,0,1,102,9.8,"17:10",NA
"Tyler Toffoli",20212022,"MTL","R","R",33,9,16,25,-4,4,0.76,4,17,4,7,1,1,0,0,88,10.2,"17:26",41.7
"Sonny Milano",20212022,"ANA","L","L",35,9,16,25,-4,2,0.71,5,17,4,8,0,0,0,2,58,15.5,"14:47",0
"Nico Hischier",20212022,"NJD","L","C",40,9,16,25,-8,15,0.63,6,17,3,7,0,1,1,1,83,10.8,"18:53",54.7
"Travis Konecny",20212022,"PHI","R","R",43,8,17,25,-10,36,0.58,6,18,2,7,0,0,0,1,116,6.9,"17:19",50
"Trevor Moore",20212022,"LAK","L","C",47,7,18,25,14,4,0.53,5,22,1,2,1,1,0,1,99,7.1,"14:24",47.6
"Torey Krug",20212022,"STL","L","D",39,6,19,25,18,32,0.64,3,12,2,12,1,1,0,1,72,8.3,"20:51",NA
"Zach Werenski",20212022,"CBJ","L","D",41,6,19,25,-12,12,0.61,3,16,3,8,0,1,0,1,127,4.7,"26:04",NA
"Alex Goligoski",20212022,"MIN","L","D",36,2,23,25,26,26,0.69,2,22,0,3,0,0,0,0,42,4.8,"19:41",NA
"Brock Boeser",20212022,"VAN","R","R",40,12,12,24,-5,10,0.6,7,14,5,9,0,1,0,4,115,10.4,"19:04",45.8
"Brandon Hagel",20212022,"CHI","L","L",40,12,12,24,-10,13,0.6,10,20,2,4,0,0,0,2,70,17.1,"17:03",47.6
"Elias Pettersson",20212022,"VAN","L","C",46,11,13,24,-2,8,0.52,6,12,4,11,1,1,0,1,92,12,"18:19",41.9
"Conor Garland",20212022,"VAN","R","R",41,10,14,24,8,28,0.59,9,22,1,2,0,0,0,3,116,8.6,"16:19",42.9
"Kasperi Kapanen",20212022,"PIT","R","R",45,9,15,24,4,8,0.53,9,20,0,4,0,0,0,2,86,10.5,"16:01",20
"Evan Bouchard",20212022,"EDM","R","D",42,9,15,24,4,20,0.57,7,19,2,4,0,1,0,0,102,8.8,"21:38",NA
"Kyle Okposo",20212022,"BUF","R","R",40,8,16,24,-10,27,0.6,3,15,4,8,1,1,0,1,98,8.2,"16:49",52.3
"Jacob Trouba",20212022,"NYR","R","D",47,8,16,24,8,65,0.51,7,20,1,3,0,1,0,1,127,6.3,"22:43",NA
"Drew Doughty",20212022,"LAK","R","D",28,5,19,24,8,16,0.86,2,15,3,9,0,0,0,0,74,6.8,"25:37",NA
"Thomas Chabot",20212022,"OTT","L","D",41,3,21,24,4,16,0.59,3,16,0,8,0,0,0,0,111,2.7,"27:03",NA
"Tyler Seguin",20212022,"DAL","R","C",43,14,9,23,-9,20,0.53,11,16,3,7,0,0,0,1,111,12.6,"17:28",56.7
"Bo Horvat",20212022,"VAN","L","C",41,13,10,23,-3,22,0.56,8,15,5,8,0,0,0,2,116,11.2,"20:09",55.7
"Joel Eriksson Ek",20212022,"MIN","L","C",36,13,10,23,13,16,0.64,5,15,8,8,0,0,1,1,111,11.7,"18:39",49.3
"Corey Perry",20212022,"TBL","R","R",46,12,11,23,4,43,0.5,9,19,3,4,0,0,0,2,91,13.2,"14:14",0
"Max Pacioretty",20212022,"VGK","L","L",19,12,11,23,7,23,1.21,9,16,3,7,0,0,0,3,81,14.8,"17:55",33.3
"Valeri Nichushkin",20212022,"COL","L","R",28,12,11,23,15,8,0.82,8,19,2,2,2,2,0,1,75,16,"18:14",0
"Yanni Gourde",20212022,"SEA","L","C",38,10,13,23,-10,22,0.61,8,18,2,4,0,1,0,0,65,15.4,"18:52",50.4
"Dawson Mercer",20212022,"NJD","R","C",46,9,14,23,-7,16,0.5,7,20,1,2,1,1,0,0,79,11.4,"15:56",34.8
"Mason Marchment",20212022,"FLA","L","L",22,8,15,23,21,17,1.05,8,23,0,0,0,0,0,0,46,17.4,"13:03",18.2
"Martin Necas",20212022,"CAR","R","C",39,8,15,23,4,12,0.59,7,20,1,3,0,0,1,4,79,10.1,"16:46",47.6
"Cam Fowler",20212022,"ANA","L","D",44,6,17,23,-1,10,0.52,1,10,5,13,0,0,0,0,72,8.3,"23:58",NA
"Alexander Barabanov",20212022,"SJS","L","L",38,6,17,23,0,4,0.61,5,19,1,4,0,0,1,1,50,12,"17:06",0
"Filip Hronek",20212022,"DET","R","D",45,4,19,23,-14,28,0.51,2,18,2,5,0,0,0,0,82,4.9,"22:27",NA
"Jaccob Slavin",20212022,"CAR","L","D",41,2,21,23,11,8,0.56,1,16,1,6,0,1,0,0,81,2.5,"23:51",NA
"John Klingberg",20212022,"DAL","R","D",37,1,22,23,-16,12,0.62,0,11,1,12,0,0,1,1,59,1.7,"21:32",NA
"Brock Nelson",20212022,"NYI","L","C",30,14,8,22,-4,23,0.73,11,16,3,6,0,0,0,1,68,20.6,"17:16",49.9
"Nino Niederreiter",20212022,"CAR","L","R",37,14,8,22,12,8,0.59,11,18,3,4,0,0,0,4,70,20,"14:27",35.7
"Vladislav Namestnikov",20212022,"DET","L","C",47,12,10,22,-1,25,0.47,11,21,0,0,1,1,0,0,64,18.8,"15:12",50
"Robby Fabbri",20212022,"DET","L","C",45,12,10,22,-17,27,0.49,8,16,4,6,0,0,0,0,106,11.3,"17:25",49
"Nicolas Roy",20212022,"VGK","R","C",42,8,14,22,8,39,0.52,7,18,1,4,0,0,0,1,83,9.6,"16:34",47.3
"Dmitry Orlov",20212022,"WSH","L","D",43,7,15,22,17,34,0.51,5,20,2,2,0,0,1,4,67,10.5,"21:01",NA
"Damon Severson",20212022,"NJD","R","D",44,6,16,22,-16,34,0.5,4,12,2,9,0,1,0,0,97,6.2,"23:33",NA
"Mikhail Sergachev",20212022,"TBL","L","D",42,2,20,22,5,20,0.52,2,17,0,4,0,1,0,0,66,3,"22:39",NA
"Conor Sheary",20212022,"WSH","L","L",37,11,10,21,1,4,0.57,10,18,1,3,0,0,0,3,69,15.9,"15:45",30.8
"Lawson Crouse",20212022,"ARI","L","L",44,11,10,21,-6,34,0.48,11,18,0,3,0,0,0,2,100,11,"17:44",32.4
"Dylan Cozens",20212022,"BUF","R","C",42,11,10,21,-12,17,0.5,10,17,1,4,0,0,0,1,78,14.1,"16:01",43.1
"Evgenii Dadonov",20212022,"VGK","L","R",44,10,11,21,3,12,0.48,8,17,2,4,0,0,1,2,114,8.8,"16:06",0
"Brayden Schenn",20212022,"STL","L","C",28,10,11,21,11,20,0.75,5,14,5,7,0,0,0,2,46,21.7,"17:12",49.8
"Patrik Laine",20212022,"CBJ","R","L",24,10,11,21,0,12,0.88,10,16,0,5,0,0,2,3,63,15.9,"17:59",20
"David Perron",20212022,"STL","R","L",31,8,13,21,-2,22,0.68,5,11,3,10,0,0,0,1,74,10.8,"16:52",33.3
"Lars Eller",20212022,"WSH","L","C",40,8,13,21,3,18,0.53,8,19,0,2,0,0,0,0,64,12.5,"17:15",48.5
"Tim Stützle",20212022,"OTT","L","L",40,8,13,21,-14,23,0.53,6,12,2,9,0,0,1,3,92,8.7,"17:59",30.9
"Connor Brown",20212022,"OTT","R","R",27,6,15,21,-5,4,0.78,6,14,0,5,0,2,0,0,47,12.8,"19:57",46.5
"Victor Olofsson",20212022,"BUF","L","L",36,5,16,21,-15,6,0.58,4,17,1,4,0,0,0,0,72,6.9,"16:04",NA
"Oliver Kylington",20212022,"CGY","L","D",41,5,16,21,20,8,0.51,5,19,0,2,0,0,0,1,86,5.8,"18:38",NA
"Alex Wennberg",20212022,"SEA","L","C",46,4,17,21,-12,14,0.46,4,17,0,4,0,0,0,1,63,6.4,"18:31",47.6
"Gustav Forsling",20212022,"FLA","L","D",38,2,19,21,24,12,0.55,2,21,0,0,0,0,0,0,69,2.9,"21:21",NA
"Rasmus Andersson",20212022,"CGY","R","D",42,1,20,21,10,14,0.5,0,11,1,9,0,1,0,0,78,1.3,"22:28",NA
"Paul Stastny",20212022,"WPG","L","C",31,11,9,20,5,10,0.65,9,16,2,4,0,0,0,2,49,22.5,"17:02",53.8
"Jamie Benn",20212022,"DAL","L","L",43,11,9,20,-4,47,0.47,9,14,2,6,0,0,1,1,102,10.8,"17:19",55
"Jonathan Dahlen",20212022,"SJS","L","C",41,11,9,20,-11,6,0.49,8,14,3,6,0,0,0,2,85,12.9,"14:58",NA
"Alexandre Texier",20212022,"CBJ","L","C",36,11,9,20,0,12,0.56,10,18,0,0,1,2,0,0,59,18.6,"14:36",35.1
"Charlie Coyle",20212022,"BOS","R","C",43,10,10,20,-5,14,0.47,8,15,2,5,0,0,1,3,70,14.3,"17:26",46.9
