"player","season","team","s_c","pos","gp","g","a","p","x","pim","p_gp","evg","evp","ppg","ppp","shg","shp","otg","gwg","s","s_percent","toi_gp","fow_percent"
"Filip Chytil",20212022,"NYR","L","C",38,4,7,11,-1,10,0.29,4,10,0,1,0,0,0,0,71,5.6,"12:41",42.4
"Justin Braun",20212022,"PHI","R","D",45,3,8,11,2,28,0.24,3,11,0,0,0,0,0,0,48,6.3,"19:49",NA
"TJ Brodie",20212022,"TOR","L","D",43,3,8,11,10,16,0.26,3,9,0,0,0,2,0,0,24,12.5,"21:00",NA
"Nick Jensen",20212022,"WSH","R","D",41,3,8,11,20,8,0.27,3,11,0,0,0,0,0,0,51,5.9,"19:16",NA
"Michael McLeod",20212022,"NJD","R","C",42,3,8,11,-4,26,0.26,3,10,0,0,0,1,0,0,49,6.1,"14:36",58.5
"Dylan Coghlan",20212022,"VGK","R","D",35,3,8,11,-2,12,0.31,1,8,2,3,0,0,0,1,66,4.6,"14:36",NA
"Morgan Geekie",20212022,"SEA","R","C",40,3,8,11,-9,10,0.28,3,8,0,3,0,0,0,0,58,5.2,"12:30",52.4
"Jordan Staal",20212022,"CAR","L","C",41,2,9,11,1,10,0.27,1,9,1,2,0,0,0,0,72,2.8,"16:53",57.2
"Justin Schultz",20212022,"WSH","R","D",42,2,9,11,0,8,0.26,1,8,1,3,0,0,0,1,42,4.8,"17:29",NA
"Radek Faksa",20212022,"DAL","L","C",41,2,9,11,-13,27,0.27,1,10,1,1,0,0,0,0,45,4.4,"15:57",52.6
"Rasmus Ristolainen",20212022,"PHI","R","D",41,2,9,11,-10,18,0.27,2,11,0,0,0,0,0,0,57,3.5,"21:01",NA
"Mario Ferraro",20212022,"SJS","L","D",42,2,9,11,1,8,0.26,2,11,0,0,0,0,0,1,36,5.6,"23:29",NA
"Alexander Edler",20212022,"LAK","L","D",26,1,10,11,8,22,0.42,1,11,0,0,0,0,0,0,39,2.6,"18:26",NA
"Jake Muzzin",20212022,"TOR","L","D",35,1,10,11,-2,10,0.31,1,10,0,0,0,1,0,0,46,2.2,"21:22",NA
"Brenden Dillon",20212022,"WPG","L","D",39,1,10,11,12,32,0.28,1,11,0,0,0,0,0,0,56,1.8,"19:30",NA
"Jamie Oleksiak",20212022,"SEA","L","D",37,1,10,11,1,34,0.3,1,11,0,0,0,0,0,0,51,2,"19:26",NA
"Marcus Pettersson",20212022,"PIT","L","D",42,1,10,11,6,24,0.26,1,11,0,0,0,0,0,0,40,2.5,"15:54",NA
"Dante Fabbro",20212022,"NSH","R","D",36,1,10,11,9,20,0.31,1,11,0,0,0,0,0,0,46,2.2,"19:04",NA
"Tyler Myers",20212022,"VAN","R","D",46,0,11,11,9,48,0.24,0,11,0,0,0,0,0,0,75,0,"22:13",NA
"Radko Gudas",20212022,"FLA","R","D",45,0,11,11,23,57,0.24,0,11,0,0,0,0,0,0,67,0,"18:42",NA
"Jacob Peterson",20212022,"DAL","L","C",36,8,2,10,-1,8,0.28,8,10,0,0,0,0,0,4,53,15.1,"12:19",55
"Vasily Podkolzin",20212022,"VAN","L","R",43,7,3,10,5,6,0.23,7,9,0,1,0,0,0,1,57,12.3,"12:29",55.6
"Ilya Mikheyev",20212022,"TOR","L","R",14,7,3,10,7,4,0.71,3,5,2,3,2,2,0,3,38,18.4,"15:16",NA
"Steven Lorentz",20212022,"CAR","L","C",39,6,4,10,1,4,0.26,6,10,0,0,0,0,0,1,45,13.3,"11:16",50.7
"Kevin Rooney",20212022,"NYR","L","C",44,6,4,10,1,10,0.23,6,10,0,0,0,0,0,1,54,11.1,"14:00",44.7
"Brendan Gallagher",20212022,"MTL","R","R",26,4,6,10,-8,28,0.38,1,7,3,3,0,0,0,0,62,6.5,"15:19",39.1
"Mike Reilly",20212022,"BOS","L","D",37,4,6,10,-1,10,0.27,3,7,0,2,1,1,0,0,66,6.1,"18:45",NA
"Adam Erne",20212022,"DET","L","L",46,4,6,10,-21,24,0.22,4,10,0,0,0,0,0,1,54,7.4,"13:56",52.7
"Adam Gaudette",20212022,"CHI,OTT","R","C",21,4,6,10,-3,13,0.48,2,8,2,2,0,0,0,0,37,10.8,"10:54",42.2
"Taylor Raddysh",20212022,"TBL","R","R",42,4,6,10,2,8,0.24,3,8,0,1,1,1,0,1,49,8.2,"11:09",40
"Matt Boldy",20212022,"MIN","L","L",10,4,6,10,9,0,1,3,7,1,3,0,0,0,2,24,16.7,"16:29",57.1
"Tomas Nosek",20212022,"BOS","L","L",37,3,7,10,-4,16,0.27,3,9,0,0,0,1,0,1,43,7,"13:43",53.2
"Evgeny Svechnikov",20212022,"WPG","L","L",34,3,7,10,2,16,0.29,3,10,0,0,0,0,0,0,40,7.5,"10:55",40
"K'Andre Miller",20212022,"NYR","L","D",47,3,7,10,5,18,0.21,3,10,0,0,0,0,0,1,46,6.5,"19:57",NA
"Chris Wideman",20212022,"MTL","R","D",31,2,8,10,-15,34,0.32,2,6,0,4,0,0,0,0,39,5.1,"14:53",NA
"Jakob Chychrun",20212022,"ARI","L","D",34,2,8,10,-27,34,0.29,1,9,1,1,0,0,0,0,103,1.9,"23:58",NA
"Henri Jokiharju",20212022,"BUF","R","D",29,2,8,10,-4,8,0.34,2,10,0,0,0,0,0,0,35,5.7,"21:14",NA
"Marco Scandella",20212022,"STL","L","D",44,1,9,10,6,14,0.23,1,8,0,0,0,2,0,0,51,2,"17:32",NA
"Andrew Peeke",20212022,"CBJ","R","D",43,1,9,10,-8,30,0.23,1,10,0,0,0,0,0,0,26,3.9,"19:40",NA
"Riley Stillman",20212022,"CHI","L","D",28,1,9,10,-1,27,0.36,1,10,0,0,0,0,0,1,25,4,"14:35",NA
"Rasmus Sandin",20212022,"TOR","L","D",37,1,9,10,5,2,0.27,1,8,0,2,0,0,0,1,34,2.9,"17:03",NA
"Ty Smith",20212022,"NJD","L","D",38,1,9,10,-15,4,0.26,1,6,0,4,0,0,0,0,40,2.5,"17:39",NA
"Andrew Ladd",20212022,"ARI","L","L",37,6,3,9,-12,39,0.24,4,6,2,3,0,0,0,0,35,17.1,"14:09",71.4
"Luke Glendening",20212022,"DAL","R","C",43,6,3,9,-7,13,0.21,6,9,0,0,0,0,0,0,58,10.3,"13:25",58.7
"Carl Grundstrom",20212022,"LAK","L","R",29,6,3,9,3,12,0.31,6,9,0,0,0,0,0,1,51,11.8,"11:10",42.9
"Cal Clutterbuck",20212022,"NYI","R","R",39,5,4,9,-1,8,0.23,4,8,0,0,1,1,0,1,49,10.2,"13:54",75
"Alex Chiasson",20212022,"VAN","R","R",37,5,4,9,-3,18,0.24,1,3,4,6,0,0,0,0,42,11.9,"10:42",50
"Ben Chiarot",20212022,"MTL","L","D",41,5,4,9,-25,32,0.22,4,7,1,2,0,0,0,0,76,6.6,"23:22",NA
"Tyler Motte",20212022,"VAN","L","C",31,5,4,9,-1,14,0.29,4,8,0,0,1,1,0,1,56,8.9,"13:39",33.3
"Maxim Mamin",20212022,"FLA","L","C",23,5,4,9,7,4,0.39,5,9,0,0,0,0,0,0,27,18.5,"12:10",NA
"Trevor Lewis",20212022,"CGY","R","C",42,4,5,9,-3,4,0.21,3,8,0,0,1,1,0,0,61,6.6,"12:47",44.9
"Derek Forbort",20212022,"BOS","L","D",40,4,5,9,-3,20,0.23,4,9,0,0,0,0,0,1,35,11.4,"18:23",NA
"Colin Blackwell",20212022,"SEA","R","C",23,4,5,9,-4,2,0.39,4,9,0,0,0,0,0,0,29,13.8,"11:23",53.9
"Matt Nieto",20212022,"SJS","L","L",39,4,5,9,-17,6,0.23,4,9,0,0,0,0,0,0,43,9.3,"14:23",20
"Michael Raffl",20212022,"DAL","L","L",37,4,5,9,-9,4,0.24,4,7,0,0,0,2,0,0,42,9.5,"14:46",54.6
"Ryan Lindgren",20212022,"NYR","L","D",44,4,5,9,18,22,0.2,4,9,0,0,0,0,0,1,39,10.3,"20:26",NA
"MacKenzie Entwistle",20212022,"CHI","R","R",30,4,5,9,-4,17,0.3,3,8,0,0,1,1,0,0,21,19.1,"10:31",44.4
"Tyler Bozak",20212022,"STL","R","C",37,3,6,9,-7,12,0.24,2,6,0,1,1,2,0,1,33,9.1,"12:32",44.1
"Oliver Ekman-Larsson",20212022,"VAN","L","D",43,3,6,9,0,34,0.21,1,6,2,3,0,0,0,0,104,2.9,"22:46",NA
"Cody Eakin",20212022,"BUF","L","C",40,3,6,9,-9,18,0.23,2,6,1,2,0,1,0,1,57,5.3,"13:38",55.7
"Kevin Hayes",20212022,"PHI","L","C",20,3,6,9,-12,14,0.45,2,6,1,2,0,1,0,0,41,7.3,"15:51",41.1
"Nikita Zadorov",20212022,"CGY","L","D",35,3,6,9,-2,32,0.26,3,9,0,0,0,0,0,0,49,6.1,"16:28",NA
"Kieffer Bellows",20212022,"NYI","L","L",20,3,6,9,0,9,0.45,3,7,0,2,0,0,0,2,29,10.3,"11:58",0
"Rasmus Kupari",20212022,"LAK","R","C",37,3,6,9,-2,14,0.24,2,6,1,3,0,0,0,1,32,9.4,"11:36",42.9
"Aliaksei Protas",20212022,"WSH","L","C",33,3,6,9,4,0,0.27,3,8,0,1,0,0,0,0,34,8.8,"11:50",44.8
"Ryan Reaves",20212022,"NYR","R","R",40,2,7,9,-8,26,0.23,2,9,0,0,0,0,0,0,26,7.7,"10:38",0
"Luke Schenn",20212022,"VAN","R","D",30,2,7,9,8,19,0.3,2,9,0,0,0,0,0,1,34,5.9,"16:49",NA
"Brayden McNabb",20212022,"VGK","L","D",46,2,7,9,6,32,0.2,2,9,0,0,0,0,0,0,50,4,"19:28",NA
"Nick Ritchie",20212022,"TOR","L","L",33,2,7,9,-6,23,0.27,1,5,1,4,0,0,0,0,52,3.9,"12:00",0
"Jan Rutta",20212022,"TBL","R","D",42,2,7,9,10,28,0.21,2,9,0,0,0,0,0,0,46,4.4,"16:44",NA
"Loui Eriksson",20212022,"ARI","L","L",36,1,8,9,-12,6,0.25,0,7,0,1,1,1,0,0,47,2.1,"12:30",55.6
"David Savard",20212022,"MTL","R","D",42,1,8,9,-17,24,0.21,1,8,0,0,0,1,0,0,42,2.4,"20:43",NA
"Zach Aston-Reese",20212022,"PIT","L","L",38,1,8,9,4,20,0.24,1,9,0,0,0,0,0,0,42,2.4,"13:26",60
"Marc-Edouard Vlasic",20212022,"SJS","L","D",39,0,9,9,-9,10,0.23,0,9,0,0,0,0,0,0,32,0,"14:52",NA
"Matt Benning",20212022,"NSH","R","D",41,0,9,9,-9,33,0.22,0,9,0,0,0,0,0,0,41,0,"17:00",NA
"Jonas Siegenthaler",20212022,"NJD","L","D",46,0,9,9,-8,30,0.2,0,8,0,0,0,1,0,0,57,0,"20:44",NA
"Brendan Lemieux",20212022,"LAK","L","L",35,7,1,8,5,77,0.23,7,8,0,0,0,0,0,2,50,14,"11:17",52.6
"Vinni Lettieri",20212022,"ANA","R","C",17,5,3,8,-2,2,0.47,3,3,2,5,0,0,0,0,31,16.1,"13:08",80
"Ryan McLeod",20212022,"EDM","L","C",31,5,3,8,-1,4,0.26,5,8,0,0,0,0,0,0,32,15.6,"11:07",49.4
"Yegor Chinakhov",20212022,"CBJ","L","R",34,5,3,8,-17,10,0.24,5,8,0,0,0,0,0,1,57,8.8,"12:22",0
"Connor Murphy",20212022,"CHI","R","D",43,4,4,8,-11,29,0.19,4,8,0,0,0,0,0,1,53,7.6,"22:22",NA
"Andreas Athanasiou",20212022,"LAK","L","C",15,4,4,8,1,2,0.53,4,7,0,1,0,0,0,1,35,11.4,"15:10",60
"Adam Lowry",20212022,"WPG","L","C",42,3,5,8,2,23,0.19,3,6,0,1,0,1,0,0,43,7,"15:26",53.2
"Jacob Middleton",20212022,"SJS","L","D",29,3,5,8,8,44,0.28,3,7,0,0,0,1,0,0,35,8.6,"18:18",NA
"Dryden Hunt",20212022,"NYR","L","L",42,3,5,8,-7,33,0.19,3,8,0,0,0,0,0,1,49,6.1,"11:48",28.6
"Carl Hagelin",20212022,"WSH","L","L",45,2,6,8,4,20,0.18,2,7,0,0,0,1,0,0,63,3.2,"14:11",27.3
"Oskar Sundqvist",20212022,"STL","R","C",28,2,6,8,6,10,0.29,2,8,0,0,0,0,0,0,42,4.8,"14:11",41.5
"Jordan Martinook",20212022,"CAR","L","L",27,2,6,8,4,8,0.3,2,8,0,0,0,0,0,0,25,8,"10:41",47.1
"Anton Blidh",20212022,"BOS","L","L",24,2,6,8,-2,8,0.33,2,8,0,0,0,0,0,0,14,14.3,"10:25",0
"Ethan Bear",20212022,"CAR","R","D",30,2,6,8,6,16,0.27,2,8,0,0,0,0,0,1,43,4.7,"15:58",NA
"Dominik Simon",20212022,"PIT","L","C",40,2,6,8,1,16,0.2,2,7,0,1,0,0,0,1,48,4.2,"9:55",30.8
"Noah Gregor",20212022,"SJS","L","C",30,2,6,8,-8,10,0.27,2,6,0,2,0,0,0,0,80,2.5,"15:12",29.2
"Lucas Carlsson",20212022,"FLA","L","D",25,2,6,8,4,8,0.32,2,8,0,0,0,0,0,0,26,7.7,"12:38",NA
"Erik Gudbranson",20212022,"CGY","R","D",42,1,7,8,-2,42,0.19,1,8,0,0,0,0,0,0,68,1.5,"17:56",NA
"Mark Pysyk",20212022,"BUF","R","D",45,1,7,8,1,14,0.18,1,8,0,0,0,0,0,0,45,2.2,"18:49",NA
"Brett Kulak",20212022,"MTL","L","D",38,1,7,8,-11,21,0.21,1,8,0,0,0,0,0,0,34,2.9,"17:19",NA
"Cole Caufield",20212022,"MTL","R","R",29,1,7,8,-15,4,0.28,1,5,0,3,0,0,0,0,70,1.4,"14:40",50
"Logan Stanley",20212022,"WPG","L","D",35,0,8,8,2,29,0.23,0,7,0,0,0,1,0,0,53,0,"15:11",NA
"Gustav Lindstrom",20212022,"DET","R","D",37,0,8,8,0,12,0.22,0,8,0,0,0,0,0,0,28,0,"16:08",NA
"Jacob Bryson",20212022,"BUF","L","D",37,0,8,8,-11,10,0.22,0,2,0,6,0,0,0,0,20,0,"19:01",NA
"Ryan Poehling",20212022,"MTL","L","C",30,5,2,7,-15,4,0.23,4,6,1,1,0,0,0,1,50,10,"12:48",45.1
"Michael Amadio",20212022,"TOR,VGK","R","C",28,4,3,7,1,2,0.25,4,7,0,0,0,0,0,1,34,11.8,"10:48",39.2
"Jansen Harkins",20212022,"WPG","L","C",41,4,3,7,-3,11,0.17,4,7,0,0,0,0,0,0,39,10.3,"10:28",52.6
"Henrik Borgstrom",20212022,"CHI","L","C",32,4,3,7,-8,16,0.22,4,6,0,1,0,0,0,0,33,12.1,"11:20",40.5
"Josh Manson",20212022,"ANA","R","D",43,3,4,7,0,49,0.16,3,7,0,0,0,0,0,0,56,5.4,"19:44",NA
"Jake McCabe",20212022,"CHI","L","D",40,3,4,7,-21,15,0.18,3,7,0,0,0,0,0,0,42,7.1,"20:18",NA
"Juho Lammikko",20212022,"VAN","L","L",39,3,4,7,-2,10,0.18,3,7,0,0,0,0,0,0,33,9.1,"11:29",51.6
"Christian Fischer",20212022,"ARI","R","R",37,3,4,7,-12,10,0.19,2,6,1,1,0,0,0,0,46,6.5,"12:56",31.9
"Niko Mikkola",20212022,"STL","L","D",29,3,4,7,-7,28,0.24,2,6,0,0,1,1,0,0,39,7.7,"17:50",NA
"Martin Fehervary",20212022,"WSH","L","D",44,3,4,7,16,12,0.16,2,6,0,0,1,1,0,0,51,5.9,"19:28",NA
"Jasper Weatherby",20212022,"SJS","L","C",40,3,4,7,-14,16,0.18,2,5,1,2,0,0,0,0,41,7.3,"11:55",50.7
"Anton Stralman",20212022,"ARI","R","D",37,2,5,7,-13,8,0.19,2,7,0,0,0,0,0,0,50,4,"20:30",NA
"Jani Hakanpaa",20212022,"DAL","R","D",42,2,5,7,7,37,0.17,2,7,0,0,0,0,0,0,33,6.1,"15:28",NA
"Gregory Hofmann",20212022,"CBJ","L","C",24,2,5,7,6,8,0.29,2,7,0,0,0,0,0,2,33,6.1,"12:30",0
"Alex Galchenyuk",20212022,"ARI","L","C",25,2,5,7,-4,12,0.28,2,6,0,1,0,0,0,0,37,5.4,"12:55",58.5
"Jesper Boqvist",20212022,"NJD","L","C",20,2,5,7,-8,2,0.35,2,7,0,0,0,0,0,0,25,8,"11:49",38.7
"Morgan Frost",20212022,"PHI","L","C",26,2,5,7,-7,12,0.27,2,7,0,0,0,0,0,0,33,6.1,"13:09",47
"Alexander Romanov",20212022,"MTL","L","D",41,2,5,7,-10,29,0.17,2,7,0,0,0,0,0,0,47,4.3,"18:46",NA
"Jack Johnson",20212022,"COL","L","D",40,1,6,7,7,32,0.18,1,6,0,0,0,1,0,0,30,3.3,"16:16",NA
"Nick Foligno",20212022,"BOS","L","L",26,1,6,7,-6,31,0.27,1,6,0,1,0,0,0,0,43,2.3,"14:07",55
"Kyle Palmieri",20212022,"NYI","R","R",29,1,6,7,-13,41,0.24,1,6,0,1,0,0,0,0,63,1.6,"15:50",22.2
"Ben Hutton",20212022,"VGK","L","D",25,1,6,7,4,14,0.28,1,7,0,0,0,0,0,0,32,3.1,"14:36",NA
"Erik Cernak",20212022,"TBL","R","D",21,1,6,7,5,16,0.33,1,7,0,0,0,0,0,0,40,2.5,"19:24",NA
"Thomas Novak",20212022,"NSH","L","C",27,1,6,7,-4,2,0.26,0,3,1,4,0,0,0,0,25,4,"11:48",44
"Timothy Liljegren",20212022,"TOR","R","D",28,1,6,7,6,6,0.25,1,7,0,0,0,0,0,0,32,3.1,"15:40",NA
"Gavin Bayreuther",20212022,"CBJ","L","D",23,0,7,7,1,15,0.3,0,7,0,0,0,0,0,0,26,0,"14:39",NA
"Ilya Lyubushkin",20212022,"ARI","R","D",43,0,7,7,-6,24,0.16,0,6,0,0,0,1,0,0,30,0,"18:03",NA
"Brian Boyle",20212022,"PIT","L","C",33,5,1,6,-1,23,0.18,4,5,0,0,1,1,0,0,47,10.6,"10:34",48.5
"Joe Thornton",20212022,"FLA","L","C",24,4,2,6,-9,6,0.25,1,3,3,3,0,0,0,1,19,21.1,"11:02",45.5
"Darren Helm",20212022,"COL","L","C",32,4,2,6,-1,6,0.19,3,4,0,0,1,2,0,0,48,8.3,"10:58",41.5
"Ryan Dzingel",20212022,"ARI","L","C",23,4,2,6,-3,35,0.26,4,6,0,0,0,0,0,1,22,18.2,"13:18",41.7
"Anders Bjork",20212022,"BUF","L","L",40,4,2,6,-6,10,0.15,4,6,0,0,0,0,0,0,36,11.1,"12:22",20
"Michael Pezzetta",20212022,"MTL","L","L",30,4,2,6,-10,68,0.2,4,6,0,0,0,0,0,0,31,12.9,"7:52",42.9
"Joe Veleno",20212022,"DET","L","C",31,4,2,6,-6,14,0.19,4,6,0,0,0,0,0,0,37,10.8,"12:13",51.6
"Nick Holden",20212022,"OTT","L","D",35,3,3,6,-3,4,0.17,3,6,0,0,0,0,0,1,38,7.9,"19:31",NA
"Dominic Toninato",20212022,"WPG","L","C",37,3,3,6,-1,14,0.16,3,6,0,0,0,0,0,1,22,13.6,"8:17",41.7
"Jason Dickinson",20212022,"VAN","L","C",43,3,3,6,-2,15,0.14,3,6,0,0,0,0,0,0,50,6,"13:15",44.8
"Kevin Labanc",20212022,"SJS","R","R",21,3,3,6,-4,6,0.29,1,2,2,4,0,0,0,1,36,8.3,"13:17",0
"Brandon Carlo",20212022,"BOS","R","D",41,3,3,6,-2,23,0.15,3,6,0,0,0,0,0,0,74,4.1,"19:49",NA
"Derek Ryan",20212022,"EDM","R","C",38,3,3,6,-11,2,0.16,3,6,0,0,0,0,0,1,30,10,"11:06",56.5
"Julien Gauthier",20212022,"NYR","R","R",34,3,3,6,-2,2,0.18,3,6,0,0,0,0,0,1,52,5.8,"10:30",33.3
"Logan Brown",20212022,"STL","L","C",17,3,3,6,-2,4,0.35,3,5,0,1,0,0,0,0,20,15,"11:45",32.4
"Alex Barré-Boulet",20212022,"SEA,TBL","L","C",16,3,3,6,0,4,0.38,3,5,0,1,0,0,0,0,16,18.8,"11:00",40
"Brett Leason",20212022,"WSH","R","R",33,3,3,6,0,2,0.18,3,6,0,0,0,0,0,0,42,7.1,"9:03",37.5
"Zach Bogosian",20212022,"TBL","R","D",23,2,4,6,5,34,0.26,2,6,0,0,0,0,0,1,32,6.3,"17:25",NA
"Michael Del Zotto",20212022,"OTT","L","D",10,2,4,6,-9,4,0.6,1,4,1,2,0,0,0,0,15,13.3,"17:16",NA
"Nicolas Deslauriers",20212022,"ANA","L","L",45,2,4,6,-5,56,0.13,1,5,0,0,1,1,0,0,53,3.8,"11:51",25
"Laurent Dauphin",20212022,"MTL","L","C",15,2,4,6,-7,17,0.4,2,6,0,0,0,0,0,0,19,10.5,"14:50",46
"Anthony Mantha",20212022,"WSH","L","R",10,2,4,6,0,4,0.6,2,4,0,2,0,0,0,0,16,12.5,"13:52",NA
"Matthew Highmore",20212022,"VAN","L","C",22,2,4,6,1,6,0.27,2,6,0,0,0,0,0,0,25,8,"13:16",0
"Boris Katchouk",20212022,"TBL","L","L",36,2,4,6,3,25,0.17,2,6,0,0,0,0,0,1,33,6.1,"9:49",41.2
"Brett Murray",20212022,"BUF","L","L",19,2,4,6,-3,23,0.32,2,5,0,1,0,0,0,0,14,14.3,"12:58",NA
"Oskar Steen",20212022,"BOS","R","C",18,2,4,6,0,6,0.33,2,6,0,0,0,0,0,0,22,9.1,"10:57",16.7
"Nolan Patrick",20212022,"VGK","R","C",16,2,4,6,4,2,0.38,2,6,0,0,0,0,0,0,23,8.7,"12:39",53.3
"Klim Kostin",20212022,"STL","L","C",30,2,4,6,-1,14,0.2,2,6,0,0,0,0,0,1,25,8,"9:27",50
"Max Comtois",20212022,"ANA","L","L",28,2,4,6,-4,26,0.21,2,4,0,2,0,0,0,0,42,4.8,"14:45",48.3
"Barrett Hayton",20212022,"ARI","L","C",26,2,4,6,-8,10,0.23,1,3,1,3,0,0,0,1,28,7.1,"16:35",50.4
"Marc Staal",20212022,"DET","L","D",40,1,5,6,8,6,0.15,1,6,0,0,0,0,0,1,42,2.4,"16:43",NA
"Andy Greene",20212022,"NYI","L","D",35,1,5,6,-6,2,0.17,1,6,0,0,0,0,0,0,22,4.6,"17:39",NA
"Jeff Petry",20212022,"MTL","R","D",37,1,5,6,-7,18,0.16,1,4,0,1,0,1,0,0,54,1.9,"22:47",NA
"Justin Holl",20212022,"TOR","R","D",34,1,5,6,9,10,0.18,0,5,0,0,1,1,0,1,29,3.5,"20:40",NA
"Riley Sheahan",20212022,"SEA","L","C",33,1,5,6,3,0,0.18,1,6,0,0,0,0,0,0,32,3.1,"11:17",47.2
"Robert Hagg",20212022,"BUF","L","D",35,1,5,6,-10,23,0.17,1,6,0,0,0,0,0,0,32,3.1,"17:21",NA
"Kale Clague",20212022,"LAK,MTL","L","D",23,1,5,6,-7,8,0.26,1,3,0,3,0,0,0,0,16,6.3,"17:58",NA
"Sami Niku",20212022,"MTL","L","D",13,0,6,6,3,2,0.46,0,5,0,1,0,0,0,0,14,0,"15:17",NA
"Victor Mete",20212022,"OTT","L","D",26,0,6,6,-12,2,0.23,0,6,0,0,0,0,0,0,18,0,"14:38",NA
"Scott Perunovich",20212022,"STL","L","D",19,0,6,6,2,8,0.32,0,3,0,3,0,0,0,0,14,0,"15:27",NA
"Tobias Bjornfot",20212022,"LAK","L","D",47,0,6,6,-3,4,0.13,0,6,0,0,0,0,0,0,38,0,"17:04",NA
"Nick Bjugstad",20212022,"MIN","R","C",28,4,1,5,-5,6,0.18,4,5,0,0,0,0,0,0,47,8.5,"10:11",51.5
"Nathan Walker",20212022,"STL","L","L",9,4,1,5,4,0,0.56,4,5,0,0,0,0,0,0,16,25,"13:03",0
"Brendan Perlini",20212022,"EDM","L","L",21,4,1,5,-2,4,0.24,4,5,0,0,0,0,0,0,22,18.2,"8:39",0
"Antoine Roussel",20212022,"ARI","L","L",37,3,2,5,-15,51,0.14,3,5,0,0,0,0,0,1,40,7.5,"11:39",45.5
"Dysin Mayo",20212022,"ARI","R","D",36,3,2,5,-6,8,0.14,3,5,0,0,0,0,0,0,43,7,"20:53",NA
"Givani Smith",20212022,"DET","L","R",37,3,2,5,-3,87,0.14,3,5,0,0,0,0,0,0,37,8.1,"8:00",NA
"Peyton Krebs",20212022,"VGK,BUF","L","C",20,3,2,5,-13,10,0.25,3,4,0,1,0,0,0,2,24,12.5,"15:17",35.7
"Drew O'Connor",20212022,"PIT","L","L",22,3,2,5,-1,4,0.23,3,5,0,0,0,0,0,0,40,7.5,"10:17",34.6
"Janis Moser",20212022,"ARI","L","D",18,3,2,5,-4,8,0.28,2,4,1,1,0,0,0,1,18,16.7,"18:44",NA
"Colton Sceviour",20212022,"EDM","R","C",30,2,3,5,-3,26,0.17,2,4,0,0,0,1,0,0,36,5.6,"10:07",46.6
"Devin Shore",20212022,"EDM","L","C",25,2,3,5,-3,6,0.2,2,5,0,0,0,0,0,0,16,12.5,"9:26",52.8
"Kyle Capobianco",20212022,"ARI","L","D",20,2,3,5,-4,14,0.25,1,3,1,2,0,0,1,1,17,11.8,"15:26",NA
"Austin Czarnik",20212022,"NYI","R","C",11,2,3,5,5,0,0.45,2,5,0,0,0,0,0,0,9,22.2,"10:57",39.7
"Trent Frederic",20212022,"BOS","L","C",24,2,3,5,3,29,0.21,2,5,0,0,0,0,0,0,29,6.9,"10:13",40.5
"Drake Caggiula",20212022,"BUF","L","C",18,2,3,5,-4,4,0.28,2,4,0,1,0,0,0,1,23,8.7,"14:38",25
"Mikey Anderson",20212022,"LAK","L","D",44,2,3,5,10,6,0.11,2,5,0,0,0,0,0,1,49,4.1,"19:56",NA
"Ryan Ellis",20212022,"PHI","R","D",4,1,4,5,2,0,1.25,1,3,0,2,0,0,0,0,6,16.7,"22:48",NA
"Joel Armia",20212022,"MTL","R","R",32,1,4,5,-4,12,0.16,1,4,0,1,0,0,0,0,51,2,"13:55",10
"Will Butcher",20212022,"BUF","L","D",31,1,4,5,-10,0,0.16,1,3,0,2,0,0,0,0,30,3.3,"16:49",NA
"Jordan Oesterle",20212022,"DET","L","D",25,1,4,5,-1,4,0.2,1,5,0,0,0,0,1,1,38,2.6,"18:32",NA
"Jeremy Lauzon",20212022,"SEA","L","D",37,1,4,5,-9,56,0.14,1,5,0,0,0,0,0,0,36,2.8,"17:21",NA
"Brad Hunt",20212022,"VAN","L","D",17,0,5,5,-8,6,0.29,0,4,0,1,0,0,0,0,22,0,"14:00",NA
"Ryan Carpenter",20212022,"CHI","R","C",42,0,5,5,-6,29,0.12,0,4,0,1,0,0,0,0,48,0,"12:48",52.3
"Lassi Thomson",20212022,"OTT","R","D",16,0,5,5,-8,2,0.31,0,4,0,1,0,0,0,0,18,0,"17:15",NA
"Mathieu Perreault",20212022,"MTL","L","C",14,3,1,4,0,4,0.29,3,4,0,0,0,0,0,0,15,20,"12:29",50.8
"Casey Cizikas",20212022,"NYI","L","C",32,3,1,4,-2,12,0.13,3,4,0,0,0,0,0,1,40,7.5,"13:53",54
"Brad Richardson",20212022,"CGY","L","R",24,2,2,4,-1,23,0.17,2,4,0,0,0,0,0,0,14,14.3,"9:58",59.5
"James Neal",20212022,"STL","L","L",19,2,2,4,-1,0,0.21,1,2,1,2,0,0,0,1,31,6.5,"11:58",0
"Brendan Smith",20212022,"CAR","L","D",25,2,2,4,3,19,0.16,2,4,0,0,0,0,0,1,31,6.5,"14:46",NA
"Justin Dowling",20212022,"VAN","L","C",21,2,2,4,-3,2,0.19,2,4,0,0,0,0,0,0,17,11.8,"9:31",52.5
"Michael Sgarbossa",20212022,"WSH","L","C",10,2,2,4,3,0,0.4,2,4,0,0,0,0,0,0,11,18.2,"9:54",56.9
"Mark Jankowski",20212022,"BUF","L","C",14,2,2,4,5,2,0.29,2,4,0,0,0,0,0,1,10,20,"13:56",51
